,ML Model,Accuracy,ROC score,Precision,Recall,F1-Score,MCC,Kappa Score,Jaccard Score,G-Measure
0,CLN - SVM - rbf,0.64,0.636,0.429,0.625,0.508,0.25,0.239,0.341,0.457
1,CLN - SVM - Poly,0.708,0.703,0.671,0.662,0.667,0.407,0.407,0.5,0.67
2,CLN - SVM - Utility ,0.671,0.664,0.6,0.627,0.613,0.327,0.327,0.442,0.605
3,CLN - SVM - Linear ,0.627,0.693,0.2,0.778,0.318,0.245,0.171,0.189,0.235
4,CLN - SVM - Sigmoid,0.46,0.453,0.4,0.384,0.392,-0.094,-0.094,0.243,0.397
5,CLN - RF,0.702,0.696,0.629,0.667,0.647,0.39,0.389,0.478,0.636
6,CLN - DT,0.64,0.633,0.571,0.588,0.58,0.265,0.265,0.408,0.575
7,CLN - NB,0.609,0.627,0.743,0.536,0.623,0.252,0.238,0.452,0.69
8,CLN - VGGNets,0.565,0.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CLN - ResNets,0.615,0.592,0.2,0.7,0.311,0.201,0.146,0.184,0.233
10,CLN - DenseNets,0.621,0.624,0.143,0.909,0.247,0.259,0.146,0.141,0.172
11,WSI - SVM - rbf,0.565,0.5,0.043,0.429,0.079,0.0,0.0,0.041,0.053
12,WSI - SVM - Poly,0.553,0.45,0.043,0.333,0.077,-0.047,-0.024,0.04,0.67
13,WSI - SVM - Utility ,0.559,0.494,0.072,0.417,0.123,-0.007,-0.004,0.066,0.087
14,WSI - SVM - Linear ,0.435,0.431,0.391,0.355,0.372,-0.14,-0.14,0.229,0.384
15,WSI - SVM - Sigmoid,0.516,0.507,0.449,0.437,0.443,0.014,0.014,0.284,0.447
16,WSI - RF,0.522,0.498,0.333,0.426,0.374,-0.004,-0.004,0.23,0.348
17,WSI - DT,0.453,0.456,0.464,0.386,0.421,-0.09,-0.088,0.267,0.446
18,WSI - NB,0.491,0.495,0.522,0.424,0.468,-0.011,-0.011,0.305,0.499
19,WSI - VGGNets,0.578,0.486,0.014,1.0,0.029,0.091,0.017,0.014,0.018
20,WSI - ResNets,0.571,0.608,0.58,0.5,0.537,0.143,0.142,0.367,0.562
21,WSI - DenseNets,0.584,0.514,0.072,0.625,0.13,0.091,0.045,0.069,0.088
22,EXP - SVM - rbf,0.739,0.758,0.522,0.8,0.632,0.467,0.443,0.462,0.561
23,EXP - SVM - Poly,0.646,0.774,0.188,0.929,0.313,0.312,0.197,0.186,0.224
24,EXP - SVM - Utility ,0.602,0.795,0.072,1.0,0.135,0.207,0.082,0.072,0.089
25,EXP - SVM - Linear ,0.64,0.634,0.609,0.575,0.592,0.27,0.27,0.42,0.602
26,EXP - SVM - Sigmoid,0.702,0.698,0.565,0.684,0.619,0.382,0.378,0.448,0.586
27,EXP - RF,0.64,0.631,0.449,0.608,0.517,0.247,0.24,0.348,0.474
28,EXP - DT,0.559,0.552,0.507,0.486,0.496,0.105,0.105,0.33,0.503
29,EXP - NB,0.646,0.637,0.536,0.597,0.565,0.269,0.268,0.394,0.547
30,EXP - VGGNets,0.652,0.723,0.522,0.61,0.562,0.279,0.277,0.391,0.537
31,EXP - ResNets,0.671,0.719,0.464,0.667,0.547,0.314,0.301,0.376,0.494
32,EXP - DenseNets,0.677,0.723,0.493,0.667,0.567,0.328,0.318,0.395,0.52
33,CNV - SVM - rbf,0.491,0.469,0.049,0.444,0.089,-0.029,-0.013,0.047,0.06
34,CNV - SVM - Poly,0.516,0.572,0.086,0.636,0.152,0.072,0.036,0.082,0.104
35,CNV - SVM - Utility ,0.497,0.496,0.58,0.5,0.537,-0.007,-0.007,0.367,0.562
36,CNV - SVM - Linear ,0.478,0.463,0.136,0.44,0.208,-0.054,-0.039,0.116,0.158
37,CNV - SVM - Sigmoid,0.503,0.512,0.136,0.524,0.216,0.016,0.011,0.121,0.159
38,CNV - RF,0.522,0.529,0.296,0.545,0.384,0.052,0.046,0.238,0.326
39,CNV - DT,0.484,0.479,0.185,0.469,0.265,-0.034,-0.027,0.153,0.211
40,CNV - NB,0.516,0.516,0.679,0.514,0.585,0.031,0.029,0.414,0.638
41,CNV - VGGNets,0.472,0.475,0.309,0.463,0.37,-0.057,-0.054,0.227,0.331
42,CNV - ResNets,0.478,0.518,0.222,0.462,0.3,-0.047,-0.04,0.176,0.248
43,CNV - DenseNets,0.522,0.556,0.272,0.55,0.364,0.054,0.046,0.222,0.302
44,CLN-EXP - SVM - rbf,0.714,0.748,0.506,0.83,0.629,0.452,0.418,0.459,0.549
45,CLN-EXP - SVM - Poly,0.59,0.714,0.169,0.867,0.283,0.249,0.15,0.165,0.201
46,CLN-EXP - SVM - Utility ,0.547,0.643,0.078,0.75,0.141,0.124,0.056,0.076,0.095
47,CLN-EXP - SVM - Linear ,0.621,0.62,0.558,0.614,0.585,0.239,0.238,0.413,0.569
48,EXP - SVM - Sigmoid,0.689,0.71,0.506,0.765,0.609,0.39,0.369,0.438,0.543
49,CLN-EXP - RF,0.72,0.728,0.61,0.758,0.676,0.443,0.435,0.511,0.635
50,CLN-EXP - DT,0.609,0.608,0.519,0.606,0.559,0.213,0.211,0.388,0.535
51,CLN-EXP - NB,0.634,0.633,0.571,0.629,0.599,0.264,0.263,0.427,0.582
52,CLN-EXP - VGGNets,0.596,0.661,0.675,0.565,0.615,0.201,0.198,0.444,0.65
53,CLN-EXP - ResNets,0.59,0.638,0.494,0.585,0.535,0.175,0.173,0.365,0.509
54,CLN-EXP - DenseNets,0.646,0.65,0.403,0.738,0.521,0.309,0.277,0.352,0.443
55,CLN-CNV - SVM - rbf,0.571,0.563,0.507,0.5,0.504,0.127,0.127,0.337,0.506
56,CLN-CNV - SVM - Poly,0.615,0.655,0.174,0.706,0.279,0.193,0.132,0.162,0.205
57,CLN-CNV - SVM - Utility ,0.565,0.558,0.507,0.493,0.5,0.116,0.116,0.333,0.504
58,CLN-CNV - SVM - Linear ,0.59,0.574,0.391,0.529,0.45,0.139,0.135,0.29,0.413
59,CLN-CNV - SVM - Sigmoid,0.584,0.579,0.551,0.514,0.531,0.158,0.158,0.362,0.543
60,CLN-CNV - RF,0.733,0.727,0.696,0.686,0.691,0.456,0.456,0.527,0.694
61,CLN-CNV - DT,0.646,0.639,0.594,0.586,0.59,0.279,0.278,0.418,0.592
62,CLN-CNV - NB,0.559,0.603,0.797,0.491,0.608,0.191,0.165,0.437,0.709
63,CLN-CNV - VGGNets,0.59,0.607,0.348,0.533,0.421,0.132,0.125,0.267,0.374
64,CLN-CNV - ResNets,0.621,0.641,0.609,0.553,0.579,0.237,0.236,0.408,0.597
65,CLN-CNV - DenseNets,0.584,0.629,0.203,0.538,0.295,0.097,0.079,0.173,0.232
66,CLN-WSI - SVM - rbf,0.534,0.27,0.0,0.0,0.0,-0.102,-0.025,0.0,0.0
67,CLN-WSI - SVM - Poly,0.534,0.396,0.014,0.25,0.026,-0.065,-0.022,0.013,0.017
68,CLN-WSI - SVM - Utility ,0.491,0.404,0.082,0.286,0.128,-0.13,-0.094,0.068,0.096
69,CLN-WSI - SVM - Linear ,0.516,0.511,0.466,0.466,0.466,0.023,0.023,0.304,0.466
70,CLN-WSI - SVM - Sigmoid,0.528,0.523,0.466,0.479,0.472,0.045,0.045,0.309,0.468
71,CLN-WSI - RF,0.559,0.548,0.274,0.526,0.36,0.081,0.072,0.22,0.303
72,CLN-WSI - DT,0.602,0.601,0.589,0.558,0.573,0.202,0.202,0.402,0.583
73,CLN-WSI - NB,0.609,0.604,0.466,0.586,0.519,0.2,0.196,0.351,0.486
74,CLN-WSI - VGGNets,0.472,0.558,0.795,0.453,0.577,-0.001,-0.001,0.406,0.69
75,CLN-WSI - ResNets,0.478,0.564,0.877,0.46,0.604,0.035,0.023,0.432,0.742
76,CLN-WSI - DenseNets,0.528,0.554,0.11,0.421,0.174,-0.024,-0.016,0.095,0.129
